LinNum,LinNom,AñoCld,MesCld,LinPotMaxA->B MW,LinPotMaxB->A MW,LinBarNomA,LinBarNomB,Fecha,0.0%,20.0%,80.0%,100%
155,(Ei I) Chena 220->Chena 220 I,2024,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-01,-0.002,0.0,0.004,0.141
155,(Ei I) Chena 220->Chena 220 I,2024,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-02,-0.002,0.0,0.003,0.074
155,(Ei I) Chena 220->Chena 220 I,2024,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-03,-0.003,0.0,0.003,0.011
155,(Ei I) Chena 220->Chena 220 I,2024,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-04,-0.001,0.0,0.001,0.005
155,(Ei I) Chena 220->Chena 220 I,2024,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-05,-0.001,0.0,0.002,0.007
155,(Ei I) Chena 220->Chena 220 I,2024,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-06,-0.001,0.0,0.003,0.01
155,(Ei I) Chena 220->Chena 220 I,2024,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-07,-0.001,0.0,0.003,0.019
155,(Ei I) Chena 220->Chena 220 I,2024,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-08,-0.002,0.0,0.003,0.031
155,(Ei I) Chena 220->Chena 220 I,2024,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-09,-0.002,0.0,0.002,0.027
155,(Ei I) Chena 220->Chena 220 I,2024,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-10,0.0,0.0,0.005,0.035
155,(Ei I) Chena 220->Chena 220 I,2024,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-11,-0.001,0.0,0.004,0.038
155,(Ei I) Chena 220->Chena 220 I,2024,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-12,0.0,0.0,0.002,0.033
155,(Ei I) Chena 220->Chena 220 I,2025,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-01,-0.001,0.0,0.002,0.023
155,(Ei I) Chena 220->Chena 220 I,2025,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-02,-0.002,0.0,0.001,0.016
155,(Ei I) Chena 220->Chena 220 I,2025,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-03,-0.005,0.0,0.001,0.008
155,(Ei I) Chena 220->Chena 220 I,2025,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-04,-0.003,0.0,0.001,0.004
155,(Ei I) Chena 220->Chena 220 I,2025,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-05,-0.001,0.0,0.001,0.004
155,(Ei I) Chena 220->Chena 220 I,2025,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-06,-0.003,0.0,0.002,0.022
155,(Ei I) Chena 220->Chena 220 I,2025,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-07,-0.003,0.0,0.001,0.02
155,(Ei I) Chena 220->Chena 220 I,2025,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-08,0.0,0.0,0.002,0.019
155,(Ei I) Chena 220->Chena 220 I,2025,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-09,-0.003,0.0,0.001,0.02
155,(Ei I) Chena 220->Chena 220 I,2025,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-10,-0.001,0.0,0.002,0.024
155,(Ei I) Chena 220->Chena 220 I,2025,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-11,0.0,0.0,0.002,0.024
155,(Ei I) Chena 220->Chena 220 I,2025,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-12,0.0,0.0,0.002,0.027
155,(Ei I) Chena 220->Chena 220 I,2026,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-01,0.0,0.0,0.002,0.024
155,(Ei I) Chena 220->Chena 220 I,2026,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-02,-0.003,0.0,0.001,0.018
155,(Ei I) Chena 220->Chena 220 I,2026,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-03,-0.004,0.0,0.001,0.01
155,(Ei I) Chena 220->Chena 220 I,2026,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-04,-0.003,0.0,0.001,0.004
155,(Ei I) Chena 220->Chena 220 I,2026,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-05,-0.002,0.0,0.001,0.021
155,(Ei I) Chena 220->Chena 220 I,2026,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-06,-0.002,0.0,0.002,0.02
155,(Ei I) Chena 220->Chena 220 I,2026,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-07,-0.001,0.0,0.002,0.019
155,(Ei I) Chena 220->Chena 220 I,2026,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-08,0.0,0.0,0.002,0.035
155,(Ei I) Chena 220->Chena 220 I,2026,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-09,0.0,0.0,0.002,0.022
155,(Ei I) Chena 220->Chena 220 I,2026,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-10,0.0,0.0,0.002,0.023
155,(Ei I) Chena 220->Chena 220 I,2026,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-11,0.0,0.0,0.002,0.025
155,(Ei I) Chena 220->Chena 220 I,2026,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-12,0.0,0.0,0.001,0.025
155,(Ei I) Chena 220->Chena 220 I,2027,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-01,-0.001,0.0,0.002,0.023
155,(Ei I) Chena 220->Chena 220 I,2027,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-02,0.0,0.0,0.002,0.019
155,(Ei I) Chena 220->Chena 220 I,2027,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-03,0.0,0.0,0.001,0.011
155,(Ei I) Chena 220->Chena 220 I,2027,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-04,0.0,0.0,0.001,0.008
155,(Ei I) Chena 220->Chena 220 I,2027,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-05,0.0,0.0,0.001,0.01
155,(Ei I) Chena 220->Chena 220 I,2027,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-06,0.0,0.0,0.002,0.024
155,(Ei I) Chena 220->Chena 220 I,2027,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-07,0.0,0.0,0.002,0.021
155,(Ei I) Chena 220->Chena 220 I,2027,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-08,0.0,0.0,0.002,0.021
155,(Ei I) Chena 220->Chena 220 I,2027,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-09,0.0,0.0,0.001,0.025
155,(Ei I) Chena 220->Chena 220 I,2027,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-10,0.0,0.0,0.001,0.021
155,(Ei I) Chena 220->Chena 220 I,2027,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-11,0.0,0.0,0.001,0.022
155,(Ei I) Chena 220->Chena 220 I,2027,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-12,0.0,0.0,0.001,0.021
155,(Ei I) Chena 220->Chena 220 I,2028,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2028-01,0.0,0.0,0.001,0.035
155,(Ei I) Chena 220->Chena 220 I,2028,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2028-02,0.0,0.0,0.001,0.027
155,(Ei I) Chena 220->Chena 220 I,2028,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2028-03,0.0,0.0,0.001,0.019
155,(Ei I) Chena 220->Chena 220 I,2028,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2028-04,-0.001,0.0,0.001,0.014
155,(Ei I) Chena 220->Chena 220 I,2028,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2028-05,0.0,0.0,0.001,0.019
155,(Ei I) Chena 220->Chena 220 I,2028,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2028-06,0.0,0.0,0.002,0.03
155,(Ei I) Chena 220->Chena 220 I,2028,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2028-07,0.0,0.0,0.001,0.025
155,(Ei I) Chena 220->Chena 220 I,2028,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2028-08,0.0,0.0,0.001,0.031
155,(Ei I) Chena 220->Chena 220 I,2028,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2028-09,0.0,0.0,0.001,0.026
155,(Ei I) Chena 220->Chena 220 I,2028,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2028-10,0.0,0.0,0.0,0.026
155,(Ei I) Chena 220->Chena 220 I,2028,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2028-11,0.0,0.0,0.0,0.027
155,(Ei I) Chena 220->Chena 220 I,2028,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2028-12,0.0,0.0,0.0,0.022
155,(Ei I) Chena 220->Chena 220 I,2029,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2029-01,0.0,0.0,0.001,0.021
155,(Ei I) Chena 220->Chena 220 I,2029,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2029-02,0.0,0.0,0.001,0.019
155,(Ei I) Chena 220->Chena 220 I,2029,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2029-03,0.0,0.0,0.001,0.01
155,(Ei I) Chena 220->Chena 220 I,2029,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2029-04,-0.001,0.0,0.001,0.01
155,(Ei I) Chena 220->Chena 220 I,2029,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2029-05,0.0,0.0,0.001,0.017
155,(Ei I) Chena 220->Chena 220 I,2029,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2029-06,0.0,0.0,0.001,0.018
155,(Ei I) Chena 220->Chena 220 I,2029,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2029-07,0.0,0.0,0.001,0.068
155,(Ei I) Chena 220->Chena 220 I,2029,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2029-08,0.0,0.0,0.001,0.038
155,(Ei I) Chena 220->Chena 220 I,2029,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2029-09,0.0,0.0,0.0,0.009
155,(Ei I) Chena 220->Chena 220 I,2029,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2029-10,0.0,0.0,0.0,0.007
155,(Ei I) Chena 220->Chena 220 I,2029,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2029-11,0.0,0.0,0.0,0.003
155,(Ei I) Chena 220->Chena 220 I,2029,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2029-12,0.0,0.0,0.0,0.003
155,(Ei I) Chena 220->Chena 220 I,2030,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2030-01,0.0,0.0,0.001,0.04
155,(Ei I) Chena 220->Chena 220 I,2030,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2030-02,0.0,0.0,0.001,0.035
155,(Ei I) Chena 220->Chena 220 I,2030,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2030-03,0.0,0.0,0.001,0.005
155,(Ei I) Chena 220->Chena 220 I,2030,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2030-04,0.0,0.0,0.001,0.007
155,(Ei I) Chena 220->Chena 220 I,2030,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2030-05,0.0,0.0,0.001,0.008
155,(Ei I) Chena 220->Chena 220 I,2030,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2030-06,0.0,0.0,0.001,0.011
155,(Ei I) Chena 220->Chena 220 I,2030,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2030-07,0.0,0.0,0.001,0.006
155,(Ei I) Chena 220->Chena 220 I,2030,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2030-08,0.0,0.0,0.001,0.012
155,(Ei I) Chena 220->Chena 220 I,2030,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2030-09,0.0,0.0,0.0,0.009
155,(Ei I) Chena 220->Chena 220 I,2030,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2030-10,0.0,0.0,0.0,0.008
155,(Ei I) Chena 220->Chena 220 I,2030,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2030-11,0.0,0.0,0.0,0.003
155,(Ei I) Chena 220->Chena 220 I,2030,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2030-12,0.0,0.0,0.0,0.003
155,(Ei I) Chena 220->Chena 220 I,2031,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2031-01,0.0,0.0,0.001,0.048
155,(Ei I) Chena 220->Chena 220 I,2031,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2031-02,0.0,0.0,0.001,0.023
155,(Ei I) Chena 220->Chena 220 I,2031,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2031-03,0.0,0.0,0.001,0.005
155,(Ei I) Chena 220->Chena 220 I,2031,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2031-04,0.0,0.0,0.001,0.004
155,(Ei I) Chena 220->Chena 220 I,2031,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2031-05,0.0,0.0,0.001,0.009
155,(Ei I) Chena 220->Chena 220 I,2031,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2031-06,0.0,0.0,0.002,0.011
155,(Ei I) Chena 220->Chena 220 I,2031,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2031-07,0.0,0.0,0.001,0.03
155,(Ei I) Chena 220->Chena 220 I,2031,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2031-08,0.0,0.0,0.001,0.015
155,(Ei I) Chena 220->Chena 220 I,2031,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2031-09,0.0,0.0,0.0,0.004
155,(Ei I) Chena 220->Chena 220 I,2031,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2031-10,0.0,0.0,0.0,0.003
155,(Ei I) Chena 220->Chena 220 I,2031,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2031-11,0.0,0.0,0.0,0.005
155,(Ei I) Chena 220->Chena 220 I,2031,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2031-12,0.0,0.0,0.0,0.003
155,(Ei I) Chena 220->Chena 220 I,2032,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2032-01,0.0,0.0,0.001,0.071
155,(Ei I) Chena 220->Chena 220 I,2032,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2032-02,0.0,0.0,0.001,0.007
155,(Ei I) Chena 220->Chena 220 I,2032,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2032-03,0.0,0.0,0.001,0.007
155,(Ei I) Chena 220->Chena 220 I,2032,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2032-04,0.0,0.0,0.001,0.005
155,(Ei I) Chena 220->Chena 220 I,2032,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2032-05,0.0,0.0,0.001,0.011
155,(Ei I) Chena 220->Chena 220 I,2032,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2032-06,0.0,0.0,0.002,0.043
155,(Ei I) Chena 220->Chena 220 I,2032,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2032-07,0.0,0.0,0.001,0.013
155,(Ei I) Chena 220->Chena 220 I,2032,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2032-08,0.0,0.0,0.001,0.015
155,(Ei I) Chena 220->Chena 220 I,2032,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2032-09,0.0,0.0,0.0,0.005
155,(Ei I) Chena 220->Chena 220 I,2032,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2032-10,0.0,0.0,0.0,0.015
155,(Ei I) Chena 220->Chena 220 I,2032,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2032-11,0.0,0.0,0.0,0.004
155,(Ei I) Chena 220->Chena 220 I,2032,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2032-12,0.0,0.0,0.0,0.006
155,(Ei I) Chena 220->Chena 220 I,2033,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2033-01,0.0,0.0,0.001,0.021
155,(Ei I) Chena 220->Chena 220 I,2033,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2033-02,0.0,0.0,0.001,0.045
155,(Ei I) Chena 220->Chena 220 I,2033,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2033-03,0.0,0.0,0.001,0.027
155,(Ei I) Chena 220->Chena 220 I,2033,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2033-04,0.0,0.0,0.001,0.007
155,(Ei I) Chena 220->Chena 220 I,2033,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2033-05,0.0,0.0,0.002,0.014
155,(Ei I) Chena 220->Chena 220 I,2033,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2033-06,0.0,0.0,0.002,0.013
155,(Ei I) Chena 220->Chena 220 I,2033,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2033-07,0.0,0.0,0.001,0.081
155,(Ei I) Chena 220->Chena 220 I,2033,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2033-08,0.0,0.0,0.001,0.02
155,(Ei I) Chena 220->Chena 220 I,2033,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2033-09,0.0,0.0,0.0,0.014
155,(Ei I) Chena 220->Chena 220 I,2033,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2033-10,0.0,0.0,0.0,0.012
155,(Ei I) Chena 220->Chena 220 I,2033,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2033-11,0.0,0.0,0.0,0.011
155,(Ei I) Chena 220->Chena 220 I,2033,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2033-12,0.0,0.0,0.0,0.008
155,(Ei I) Chena 220->Chena 220 I,2034,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2034-01,0.0,0.0,0.001,0.091
155,(Ei I) Chena 220->Chena 220 I,2034,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2034-02,0.0,0.0,0.001,0.034
155,(Ei I) Chena 220->Chena 220 I,2034,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2034-03,0.0,0.0,0.001,0.012
155,(Ei I) Chena 220->Chena 220 I,2034,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2034-04,0.0,0.0,0.001,0.009
155,(Ei I) Chena 220->Chena 220 I,2034,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2034-05,0.0,0.0,0.002,0.008
155,(Ei I) Chena 220->Chena 220 I,2034,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2034-06,0.0,0.0,0.002,0.014
155,(Ei I) Chena 220->Chena 220 I,2034,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2034-07,0.0,0.0,0.002,0.045
155,(Ei I) Chena 220->Chena 220 I,2034,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2034-08,0.0,0.0,0.001,0.02
155,(Ei I) Chena 220->Chena 220 I,2034,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2034-09,0.0,0.0,0.0,0.011
155,(Ei I) Chena 220->Chena 220 I,2034,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2034-10,0.0,0.0,0.0,0.006
155,(Ei I) Chena 220->Chena 220 I,2034,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2034-11,0.0,0.0,0.0,0.034
155,(Ei I) Chena 220->Chena 220 I,2034,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2034-12,0.0,0.0,0.001,0.129
155,(Ei I) Chena 220->Chena 220 I,2035,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2035-01,0.0,0.0,0.001,0.016
155,(Ei I) Chena 220->Chena 220 I,2035,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2035-02,0.0,0.0,0.001,0.034
155,(Ei I) Chena 220->Chena 220 I,2035,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2035-03,0.0,0.0,0.002,0.014
155,(Ei I) Chena 220->Chena 220 I,2035,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2035-04,-0.003,0.0,0.001,0.013
155,(Ei I) Chena 220->Chena 220 I,2035,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2035-05,0.0,0.0,0.002,0.013
155,(Ei I) Chena 220->Chena 220 I,2035,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2035-06,0.0,0.0,0.003,0.037
155,(Ei I) Chena 220->Chena 220 I,2035,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2035-07,0.0,0.0,0.002,0.013
155,(Ei I) Chena 220->Chena 220 I,2035,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2035-08,0.0,0.0,0.002,0.018
155,(Ei I) Chena 220->Chena 220 I,2035,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2035-09,0.0,0.0,0.001,0.014
155,(Ei I) Chena 220->Chena 220 I,2035,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2035-10,0.0,0.0,0.0,0.015
155,(Ei I) Chena 220->Chena 220 I,2035,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2035-11,0.0,0.0,0.001,0.045
155,(Ei I) Chena 220->Chena 220 I,2035,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2035-12,0.0,0.0,0.001,0.124
155,(Ei I) Chena 220->Chena 220 I,2036,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2036-01,0.0,0.0,0.001,0.067
155,(Ei I) Chena 220->Chena 220 I,2036,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2036-02,0.0,0.0,0.001,0.046
155,(Ei I) Chena 220->Chena 220 I,2036,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2036-03,0.0,0.0,0.002,0.048
155,(Ei I) Chena 220->Chena 220 I,2036,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2036-04,-0.001,0.0,0.001,0.036
155,(Ei I) Chena 220->Chena 220 I,2036,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2036-05,0.0,0.0,0.002,0.078
155,(Ei I) Chena 220->Chena 220 I,2036,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2036-06,0.0,0.0,0.003,0.04
155,(Ei I) Chena 220->Chena 220 I,2036,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2036-07,0.0,0.0,0.002,0.095
155,(Ei I) Chena 220->Chena 220 I,2036,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2036-08,0.0,0.0,0.002,0.06
155,(Ei I) Chena 220->Chena 220 I,2036,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2036-09,0.0,0.0,0.001,0.017
155,(Ei I) Chena 220->Chena 220 I,2036,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2036-10,0.0,0.0,0.0,0.015
155,(Ei I) Chena 220->Chena 220 I,2036,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2036-11,0.0,0.0,0.001,0.043
155,(Ei I) Chena 220->Chena 220 I,2036,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2036-12,0.0,0.0,0.001,0.013
155,(Ei I) Chena 220->Chena 220 I,2037,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2037-01,0.0,0.0,0.002,0.115
155,(Ei I) Chena 220->Chena 220 I,2037,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2037-02,0.0,0.0,0.002,0.087
155,(Ei I) Chena 220->Chena 220 I,2037,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2037-03,0.0,0.0,0.002,0.072
155,(Ei I) Chena 220->Chena 220 I,2037,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2037-04,0.0,0.0,0.002,0.054
