LinNum,LinNom,AñoCld,MesCld,LinPotMaxA->B MW,LinPotMaxB->A MW,LinBarNomA,LinBarNomB,Fecha,0.0%,20.0%,80.0%,100%
155,(Ei I) Chena 220->Chena 220 I,2024,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-01,0.0,0.0573,67.7793,122.3114
155,(Ei I) Chena 220->Chena 220 I,2024,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-02,0.0,15.9401,97.4919,174.8291
155,(Ei I) Chena 220->Chena 220 I,2024,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-03,0.015,53.9711,124.9774,186.6665
155,(Ei I) Chena 220->Chena 220 I,2024,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-04,0.0,54.1167,139.7178,187.7857
155,(Ei I) Chena 220->Chena 220 I,2024,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-05,0.0,51.2388,122.4795,184.2988
155,(Ei I) Chena 220->Chena 220 I,2024,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-06,0.0,40.4279,98.8781,175.1808
155,(Ei I) Chena 220->Chena 220 I,2024,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-07,0.0,0.0007,69.1073,143.2222
155,(Ei I) Chena 220->Chena 220 I,2024,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-08,0.0,0.0,66.5482,113.4466
155,(Ei I) Chena 220->Chena 220 I,2024,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-09,0.0,0.0,61.1333,123.8934
155,(Ei I) Chena 220->Chena 220 I,2024,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-10,0.0,0.0,59.3708,115.7912
155,(Ei I) Chena 220->Chena 220 I,2024,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-11,0.0,0.0,58.5192,123.5494
155,(Ei I) Chena 220->Chena 220 I,2024,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-12,0.0,0.0,52.4766,88.7442
155,(Ei I) Chena 220->Chena 220 I,2025,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-01,0.0,0.0,56.259,126.0222
155,(Ei I) Chena 220->Chena 220 I,2025,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-02,0.0,0.0,75.3617,167.2143
155,(Ei I) Chena 220->Chena 220 I,2025,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-03,0.0,0.0,95.5292,169.8089
155,(Ei I) Chena 220->Chena 220 I,2025,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-04,0.0,0.0,105.7094,156.9166
155,(Ei I) Chena 220->Chena 220 I,2025,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-05,0.0,0.0,88.0717,175.8909
155,(Ei I) Chena 220->Chena 220 I,2025,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-06,0.0,0.0,66.7993,143.0728
155,(Ei I) Chena 220->Chena 220 I,2025,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-07,0.0,0.0,61.1982,162.8105
155,(Ei I) Chena 220->Chena 220 I,2025,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-08,0.0,0.0,63.5913,162.647
155,(Ei I) Chena 220->Chena 220 I,2025,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-09,0.0,0.0,54.7028,134.6718
155,(Ei I) Chena 220->Chena 220 I,2025,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-10,0.0,0.0,48.2621,127.2907
155,(Ei I) Chena 220->Chena 220 I,2025,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-11,0.0,0.0,48.0569,141.768
155,(Ei I) Chena 220->Chena 220 I,2025,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-12,0.0,0.0,47.4385,112.407
155,(Ei I) Chena 220->Chena 220 I,2026,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-01,0.0,0.0,49.9624,108.1686
155,(Ei I) Chena 220->Chena 220 I,2026,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-02,0.0,0.0,54.2516,138.1444
155,(Ei I) Chena 220->Chena 220 I,2026,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-03,0.0,0.0,70.853,181.2485
155,(Ei I) Chena 220->Chena 220 I,2026,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-04,0.0,0.0,76.2473,128.0783
155,(Ei I) Chena 220->Chena 220 I,2026,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-05,0.0,0.0,61.1011,169.8476
155,(Ei I) Chena 220->Chena 220 I,2026,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-06,0.0,0.0,55.9078,146.3016
155,(Ei I) Chena 220->Chena 220 I,2026,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-07,0.0,0.0,53.3038,126.2041
155,(Ei I) Chena 220->Chena 220 I,2026,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-08,0.0,0.0,55.4956,127.1529
155,(Ei I) Chena 220->Chena 220 I,2026,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-09,0.0,0.0,46.3155,113.4943
155,(Ei I) Chena 220->Chena 220 I,2026,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-10,0.0,0.0,44.4693,96.9806
155,(Ei I) Chena 220->Chena 220 I,2026,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-11,0.0,0.0,44.2275,141.2641
155,(Ei I) Chena 220->Chena 220 I,2026,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-12,0.0,0.0,44.0478,119.8311
155,(Ei I) Chena 220->Chena 220 I,2027,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-01,0.0,0.0,45.4076,94.262
155,(Ei I) Chena 220->Chena 220 I,2027,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-02,0.0,0.0,50.8269,128.9735
155,(Ei I) Chena 220->Chena 220 I,2027,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-03,0.0,0.0,62.0667,142.1002
155,(Ei I) Chena 220->Chena 220 I,2027,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-04,0.0,0.0,67.7388,171.6218
155,(Ei I) Chena 220->Chena 220 I,2027,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2027-05,0.0,0.0,59.3967,133.63
