LinNum,LinNom,AñoCld,MesCld,LinPotMaxA->B MW,LinPotMaxB->A MW,LinBarNomA,LinBarNomB,Fecha,0.0%,20.0%,80.0%,100%
155,(Ei I) Chena 220->Chena 220 I,2024,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-01,0.0,0.0579,68.6149,124.1241
155,(Ei I) Chena 220->Chena 220 I,2024,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-02,0.0,16.1336,98.1437,176.6496
155,(Ei I) Chena 220->Chena 220 I,2024,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-03,0.0151,54.2885,126.4618,188.9028
155,(Ei I) Chena 220->Chena 220 I,2024,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-04,0.0,54.3095,141.0366,189.3461
155,(Ei I) Chena 220->Chena 220 I,2024,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-05,0.0,51.9683,123.5696,186.3414
155,(Ei I) Chena 220->Chena 220 I,2024,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-06,0.0,41.5218,99.3343,177.1311
155,(Ei I) Chena 220->Chena 220 I,2024,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-07,0.0,0.0007,69.9865,144.7649
155,(Ei I) Chena 220->Chena 220 I,2024,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-08,0.0,0.0,67.2287,114.3558
155,(Ei I) Chena 220->Chena 220 I,2024,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-09,0.0,0.0,61.7884,125.2914
155,(Ei I) Chena 220->Chena 220 I,2024,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-10,0.0,0.0,60.2369,117.2068
155,(Ei I) Chena 220->Chena 220 I,2024,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-11,0.0,0.0,59.7011,125.0506
155,(Ei I) Chena 220->Chena 220 I,2024,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2024-12,0.0,0.0,53.2996,89.9258
155,(Ei I) Chena 220->Chena 220 I,2025,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-01,0.0,0.0,56.8422,127.548
155,(Ei I) Chena 220->Chena 220 I,2025,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-02,0.0,0.0,74.8537,169.1778
155,(Ei I) Chena 220->Chena 220 I,2025,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-03,0.0,0.0,96.2557,171.7635
155,(Ei I) Chena 220->Chena 220 I,2025,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-04,0.0,0.0,106.774,157.7385
155,(Ei I) Chena 220->Chena 220 I,2025,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-05,0.0,0.0,88.5489,177.0882
155,(Ei I) Chena 220->Chena 220 I,2025,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-06,0.0,0.0,67.3276,144.3826
155,(Ei I) Chena 220->Chena 220 I,2025,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-07,0.0,0.0,61.8471,164.5095
155,(Ei I) Chena 220->Chena 220 I,2025,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-08,0.0,0.0,64.5733,163.5532
155,(Ei I) Chena 220->Chena 220 I,2025,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-09,0.0,0.0,55.6227,135.9918
155,(Ei I) Chena 220->Chena 220 I,2025,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-10,0.0,0.0,49.3684,128.6135
155,(Ei I) Chena 220->Chena 220 I,2025,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-11,0.0,0.0,49.0736,143.2054
155,(Ei I) Chena 220->Chena 220 I,2025,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2025-12,0.0,0.0,48.5446,113.6823
155,(Ei I) Chena 220->Chena 220 I,2026,1,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-01,0.0,0.0,50.605,108.6953
155,(Ei I) Chena 220->Chena 220 I,2026,2,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-02,0.0,0.0,54.8995,139.6122
155,(Ei I) Chena 220->Chena 220 I,2026,3,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-03,0.0,0.0,71.5612,182.3336
155,(Ei I) Chena 220->Chena 220 I,2026,4,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-04,0.0,0.0,76.6807,128.7586
155,(Ei I) Chena 220->Chena 220 I,2026,5,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-05,0.0,0.0,61.6516,170.6181
155,(Ei I) Chena 220->Chena 220 I,2026,6,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-06,0.0,0.0,56.7535,147.9363
155,(Ei I) Chena 220->Chena 220 I,2026,7,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-07,0.0,0.0,53.9945,127.1925
155,(Ei I) Chena 220->Chena 220 I,2026,8,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-08,0.0,0.0,57.0293,128.4178
155,(Ei I) Chena 220->Chena 220 I,2026,9,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-09,0.0,0.0,47.0292,114.6889
155,(Ei I) Chena 220->Chena 220 I,2026,10,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-10,0.0,0.0,45.8706,98.131
155,(Ei I) Chena 220->Chena 220 I,2026,11,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-11,0.0,0.0,45.2421,142.7448
155,(Ei I) Chena 220->Chena 220 I,2026,12,415.384,-415.384,(Ei I) Chena 220,Chena 220,2026-12,0.0,0.0,44.9815,121.1051
