LinNum,LinNom,LinVtj kV,LinR,LinX,LinPU-R,LinPU-X,LinPotMaxA->B MW
155,(Ei I) Chena 220->Chena 220 I,220.0,2.161519,11.720379,0.004466,0.024216,415.384
156,(Ei II) Chena 220->Chena 220 II,220.0,0.034072,0.184749,7e-05,0.000382,427.425
157,(Ei) Chena Aux 220->Cerro Navia 220 II,220.0,0.028005,0.197474,5.8e-05,0.000408,409.35
172,Alfalfal 220->La Ermita A 220 I,220.0,2.318722,13.283262,0.004791,0.027445,318.6
173,Alfalfal 220->La Ermita B 220 II,220.0,2.318722,13.283262,0.004791,0.027445,318.6
178,Alto Jahuel 220->Alto Jahuel 110 II,220.0,0.23456,13.961538,0.000485,0.028846,390.0
179,Alto Jahuel 220->Alto Jahuel 154,220.0,0.098198,15.568666,0.000203,0.032167,300.0
183,Alto Jahuel 220->Los Almendros 220 I,220.0,2.42165,17.063218,0.005003,0.035255,200.0
184,Alto Jahuel 220->Los Almendros 220 II,220.0,2.42165,17.063218,0.005003,0.035255,200.0
185,Alto Jahuel Aux 220->(Ei I) Chena 220 I,220.0,0.034072,0.184749,7e-05,0.000382,427.425
186,Alto Jahuel Aux 220->(Ei II) Chena 220 II,220.0,2.161519,11.720379,0.004466,0.024216,415.384
187,Alto Jahuel Aux 220->Alto Jahuel 220,220.0,0.0,0.001,0.0,2e-06,1500.0
188,Alto Jahuel Aux 220->Tap El Rodeo 220 I,220.0,0.38948,3.983073,0.000805,0.008229,559.76
189,Alto Jahuel Aux 220->Tap El Rodeo 220 II,220.0,0.38948,3.983073,0.000805,0.008229,559.76
217,Candelaria 220->Maipo 220 I,220.0,1.68432,14.45002,0.00348,0.029855,680.0
218,Candelaria 220->Maipo 220 II,220.0,1.68432,14.45002,0.00348,0.029855,680.0
227,Candelaria Aux 220->Candelaria 220,220.0,0.0,0.001,0.0,2e-06,910.0
267,Cerro Navia 220->Cerro Navia 110 I,220.0,0.16,13.660937,0.000331,0.028225,400.0
268,Cerro Navia 220->Cerro Navia 110 III,220.0,0.12,13.640528,0.000248,0.028183,399.0
269,Cerro Navia 220->Cerro Navia 110 IV,220.0,0.16,13.660937,0.000331,0.028225,400.0
270,Cerro Navia 220->Cerro Navia Desf 220,220.0,0.0,5.5925,0.0,0.011555,540.0
271,Cerro Navia Desf 220->Lampa 220 I,220.0,1.349337,5.502059,0.002788,0.011368,310.176
272,Cerro Navia Desf 220->Lampa 220 II,220.0,1.266665,5.776074,0.002617,0.011934,310.176
303,Chena 220->Chena 110 I,220.0,0.159027,12.826001,0.000329,0.0265,400.0
